,country,year,sex,age,suicides_no,population,suicides_per_100k_pop,gdp_per_capita_usd,generation,country_code_name,continent,sub_region,demo_group
11820,Iceland,1997,male,35-54 years,10,36576,27.34,30326,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11821,Iceland,1997,male,25-34 years,3,20431,14.68,30326,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11822,Iceland,1997,male,15-24 years,3,21667,13.85,30326,Generation X,ISL,Europe,Northern Europe,male : 15-24 years
11823,Iceland,1997,female,15-24 years,2,20753,9.64,30326,Generation X,ISL,Europe,Northern Europe,female : 15-24 years
11824,Iceland,1997,female,35-54 years,3,35184,8.53,30326,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11825,Iceland,1997,female,55-74 years,1,19635,5.09,30326,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11826,Iceland,1997,female,25-34 years,1,20279,4.93,30326,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11830,Iceland,1998,male,35-54 years,9,37412,24.06,33513,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11831,Iceland,1998,male,15-24 years,5,21660,23.08,33513,Generation X,ISL,Europe,Northern Europe,male : 15-24 years
11832,Iceland,1998,male,55-74 years,4,18929,21.13,33513,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11833,Iceland,1998,male,25-34 years,4,20591,19.43,33513,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11834,Iceland,1998,male,75+ years,1,5559,17.99,33513,G.I. Generation,ISL,Europe,Northern Europe,male : 75+ years
11835,Iceland,1998,female,75+ years,1,8020,12.47,33513,G.I. Generation,ISL,Europe,Northern Europe,female : 75+ years
11836,Iceland,1998,female,25-34 years,2,20400,9.8,33513,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11837,Iceland,1998,female,35-54 years,3,36107,8.31,33513,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11838,Iceland,1998,female,15-24 years,1,20765,4.82,33513,Generation X,ISL,Europe,Northern Europe,female : 15-24 years
11842,Iceland,1999,male,35-54 years,14,38386,36.47,34858,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11843,Iceland,1999,male,25-34 years,4,20700,19.32,34858,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11844,Iceland,1999,male,15-24 years,4,21657,18.47,34858,Generation X,ISL,Europe,Northern Europe,male : 15-24 years
11845,Iceland,1999,male,75+ years,1,5717,17.49,34858,G.I. Generation,ISL,Europe,Northern Europe,male : 75+ years
11846,Iceland,1999,female,55-74 years,2,20236,9.88,34858,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11847,Iceland,1999,female,25-34 years,2,20328,9.84,34858,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11848,Iceland,1999,female,15-24 years,2,20961,9.54,34858,Generation X,ISL,Europe,Northern Europe,female : 15-24 years
11849,Iceland,1999,male,55-74 years,1,19176,5.21,34858,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11850,Iceland,1999,female,35-54 years,1,37010,2.7,34858,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11854,Iceland,2000,male,25-34 years,13,20851,62.35,34372,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11855,Iceland,2000,male,15-24 years,13,21730,59.83,34372,Generation X,ISL,Europe,Northern Europe,male : 15-24 years
11856,Iceland,2000,male,55-74 years,6,19771,30.35,34372,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11857,Iceland,2000,male,35-54 years,10,39024,25.63,34372,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11858,Iceland,2000,female,55-74 years,3,20653,14.53,34372,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11859,Iceland,2000,female,35-54 years,4,37863,10.56,34372,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11860,Iceland,2000,female,15-24 years,1,21102,4.74,34372,Generation X,ISL,Europe,Northern Europe,female : 15-24 years
11866,Iceland,2001,male,15-24 years,8,21707,36.85,30850,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11867,Iceland,2001,male,75+ years,2,6101,32.78,30850,Silent,ISL,Europe,Northern Europe,male : 75+ years
11868,Iceland,2001,male,25-34 years,5,21119,23.68,30850,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11869,Iceland,2001,male,35-54 years,9,39779,22.63,30850,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11870,Iceland,2001,male,55-74 years,4,20268,19.74,30850,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11871,Iceland,2001,female,35-54 years,5,38708,12.92,30850,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11872,Iceland,2001,female,25-34 years,2,20597,9.71,30850,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11873,Iceland,2001,female,55-74 years,1,21059,4.75,30850,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11878,Iceland,2002,male,25-34 years,7,20997,33.34,34556,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11879,Iceland,2002,male,55-74 years,6,20853,28.77,34556,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11880,Iceland,2002,male,15-24 years,3,21620,13.88,34556,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11881,Iceland,2002,female,75+ years,1,8798,11.37,34556,Silent,ISL,Europe,Northern Europe,female : 75+ years
11882,Iceland,2002,female,35-54 years,4,39430,10.14,34556,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11883,Iceland,2002,male,35-54 years,4,40266,9.93,34556,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11884,Iceland,2002,female,25-34 years,2,20483,9.76,34556,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11885,Iceland,2002,female,55-74 years,2,21481,9.31,34556,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11886,Iceland,2002,female,15-24 years,1,21091,4.74,34556,Millenials,ISL,Europe,Northern Europe,female : 15-24 years
11890,Iceland,2003,male,55-74 years,6,21464,27.95,42174,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11891,Iceland,2003,male,15-24 years,5,21857,22.88,42174,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11892,Iceland,2003,male,35-54 years,8,40516,19.75,42174,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11893,Iceland,2003,female,55-74 years,4,22054,18.14,42174,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11894,Iceland,2003,female,25-34 years,1,20281,4.93,42174,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11895,Iceland,2003,male,25-34 years,1,20791,4.81,42174,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11896,Iceland,2003,female,35-54 years,1,39836,2.51,42174,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11902,Iceland,2004,male,75+ years,3,6720,44.64,50528,Silent,ISL,Europe,Northern Europe,male : 75+ years
11903,Iceland,2004,male,15-24 years,6,21991,27.28,50528,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11904,Iceland,2004,male,35-54 years,9,41248,21.82,50528,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11905,Iceland,2004,female,25-34 years,4,20526,19.49,50528,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11906,Iceland,2004,male,25-34 years,4,21106,18.95,50528,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11907,Iceland,2004,male,55-74 years,4,22162,18.05,50528,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11908,Iceland,2004,female,55-74 years,2,22573,8.86,50528,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11909,Iceland,2004,female,35-54 years,2,40199,4.98,50528,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11910,Iceland,2004,female,15-24 years,1,21091,4.74,50528,Millenials,ISL,Europe,Northern Europe,female : 15-24 years
11914,Iceland,2005,male,25-34 years,6,21570,27.82,60712,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11915,Iceland,2005,male,35-54 years,10,41539,24.07,60712,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11916,Iceland,2005,male,55-74 years,5,22932,21.8,60712,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11917,Iceland,2005,female,35-54 years,6,40540,14.8,60712,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11918,Iceland,2005,male,15-24 years,3,22100,13.57,60712,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11919,Iceland,2005,female,55-74 years,3,23186,12.94,60712,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11926,Iceland,2006,male,15-24 years,6,22771,26.35,60243,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11927,Iceland,2006,male,35-54 years,10,44013,22.72,60243,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11928,Iceland,2006,male,55-74 years,4,23812,16.8,60243,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11929,Iceland,2006,female,35-54 years,6,40957,14.65,60243,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11930,Iceland,2006,female,55-74 years,3,23797,12.61,60243,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11931,Iceland,2006,male,25-34 years,2,23135,8.64,60243,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11932,Iceland,2006,female,25-34 years,1,21650,4.62,60243,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11938,Iceland,2007,male,75+ years,3,7454,40.25,73590,Silent,ISL,Europe,Northern Europe,male : 75+ years
11939,Iceland,2007,male,15-24 years,7,23231,30.13,73590,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11940,Iceland,2007,male,35-54 years,12,45690,26.26,73590,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11941,Iceland,2007,male,25-34 years,6,24445,24.54,73590,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11942,Iceland,2007,female,75+ years,1,10165,9.84,73590,Silent,ISL,Europe,Northern Europe,female : 75+ years
11943,Iceland,2007,female,25-34 years,2,22098,9.05,73590,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11944,Iceland,2007,female,55-74 years,2,24464,8.18,73590,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11945,Iceland,2007,male,55-74 years,2,24652,8.11,73590,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11946,Iceland,2007,female,15-24 years,1,22072,4.53,73590,Millenials,ISL,Europe,Northern Europe,female : 15-24 years
11947,Iceland,2007,female,35-54 years,1,41594,2.4,73590,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11950,Iceland,2008,male,55-74 years,7,25539,27.41,59489,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11951,Iceland,2008,male,35-54 years,10,46462,21.52,59489,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11952,Iceland,2008,female,55-74 years,5,25254,19.8,59489,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11953,Iceland,2008,male,25-34 years,5,25691,19.46,59489,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11954,Iceland,2008,male,15-24 years,4,24143,16.57,59489,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11955,Iceland,2008,male,75+ years,1,7603,13.15,59489,Silent,ISL,Europe,Northern Europe,male : 75+ years
11956,Iceland,2008,female,35-54 years,4,42525,9.41,59489,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11957,Iceland,2008,female,25-34 years,2,22818,8.77,59489,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11962,Iceland,2009,male,55-74 years,10,26267,38.07,43700,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11963,Iceland,2009,male,25-34 years,6,24715,24.28,43700,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11964,Iceland,2009,male,35-54 years,10,44805,22.32,43700,Boomers,ISL,Europe,Northern Europe,male : 35-54 years
11965,Iceland,2009,female,35-54 years,6,42732,14.04,43700,Boomers,ISL,Europe,Northern Europe,female : 35-54 years
11966,Iceland,2009,male,75+ years,1,7788,12.84,43700,Silent,ISL,Europe,Northern Europe,male : 75+ years
11967,Iceland,2009,male,15-24 years,2,23991,8.34,43700,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11968,Iceland,2009,female,55-74 years,1,26010,3.84,43700,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11974,Iceland,2010,male,75+ years,3,7930,37.83,45179,Silent,ISL,Europe,Northern Europe,male : 75+ years
11975,Iceland,2010,male,25-34 years,8,23610,33.88,45179,Generation X,ISL,Europe,Northern Europe,male : 25-34 years
11976,Iceland,2010,male,55-74 years,7,26976,25.95,45179,Silent,ISL,Europe,Northern Europe,male : 55-74 years
11977,Iceland,2010,male,35-54 years,11,43584,25.24,45179,Generation X,ISL,Europe,Northern Europe,male : 35-54 years
11978,Iceland,2010,male,15-24 years,6,23905,25.1,45179,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11979,Iceland,2010,female,35-54 years,5,42526,11.76,45179,Generation X,ISL,Europe,Northern Europe,female : 35-54 years
11980,Iceland,2010,female,55-74 years,3,26898,11.15,45179,Silent,ISL,Europe,Northern Europe,female : 55-74 years
11981,Iceland,2010,male,05-14 years,1,21935,4.56,45179,Generation Z,ISL,Europe,Northern Europe,male : 05-14 years
11982,Iceland,2010,female,25-34 years,1,22558,4.43,45179,Generation X,ISL,Europe,Northern Europe,female : 25-34 years
11983,Iceland,2010,female,15-24 years,1,22907,4.37,45179,Millenials,ISL,Europe,Northern Europe,female : 15-24 years
11986,Iceland,2011,male,25-34 years,5,23085,21.66,49861,Millenials,ISL,Europe,Northern Europe,male : 25-34 years
11987,Iceland,2011,male,55-74 years,6,27936,21.48,49861,Boomers,ISL,Europe,Northern Europe,male : 55-74 years
11988,Iceland,2011,male,35-54 years,8,43120,18.55,49861,Generation X,ISL,Europe,Northern Europe,male : 35-54 years
11989,Iceland,2011,male,15-24 years,2,24083,8.3,49861,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
11990,Iceland,2011,female,55-74 years,2,27822,7.19,49861,Boomers,ISL,Europe,Northern Europe,female : 55-74 years
11991,Iceland,2011,male,05-14 years,1,21828,4.58,49861,Generation Z,ISL,Europe,Northern Europe,male : 05-14 years
11992,Iceland,2011,female,25-34 years,1,22337,4.48,49861,Millenials,ISL,Europe,Northern Europe,female : 25-34 years
11993,Iceland,2011,female,15-24 years,1,22926,4.36,49861,Millenials,ISL,Europe,Northern Europe,female : 15-24 years
11994,Iceland,2011,female,35-54 years,1,42475,2.35,49861,Generation X,ISL,Europe,Northern Europe,female : 35-54 years
11998,Iceland,2012,male,25-34 years,7,22931,30.53,48083,Millenials,ISL,Europe,Northern Europe,male : 25-34 years
11999,Iceland,2012,male,75+ years,2,8207,24.37,48083,Silent,ISL,Europe,Northern Europe,male : 75+ years
12000,Iceland,2012,male,55-74 years,6,28966,20.71,48083,Boomers,ISL,Europe,Northern Europe,male : 55-74 years
12001,Iceland,2012,male,35-54 years,8,42696,18.74,48083,Generation X,ISL,Europe,Northern Europe,male : 35-54 years
12002,Iceland,2012,female,55-74 years,4,28784,13.9,48083,Boomers,ISL,Europe,Northern Europe,female : 55-74 years
12003,Iceland,2012,male,15-24 years,3,24210,12.39,48083,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
12004,Iceland,2012,female,25-34 years,2,22249,8.99,48083,Millenials,ISL,Europe,Northern Europe,female : 25-34 years
12005,Iceland,2012,female,15-24 years,2,22968,8.71,48083,Millenials,ISL,Europe,Northern Europe,female : 15-24 years
12006,Iceland,2012,female,35-54 years,3,42450,7.07,48083,Generation X,ISL,Europe,Northern Europe,female : 35-54 years
12010,Iceland,2013,male,75+ years,5,8368,59.75,51749,Silent,ISL,Europe,Northern Europe,male : 75+ years
12011,Iceland,2013,male,25-34 years,7,23318,30.02,51749,Millenials,ISL,Europe,Northern Europe,male : 25-34 years
12012,Iceland,2013,male,35-54 years,12,42535,28.21,51749,Generation X,ISL,Europe,Northern Europe,male : 35-54 years
12013,Iceland,2013,female,75+ years,3,10950,27.4,51749,Silent,ISL,Europe,Northern Europe,female : 75+ years
12014,Iceland,2013,male,15-24 years,5,24215,20.65,51749,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
12015,Iceland,2013,male,55-74 years,6,29974,20.02,51749,Boomers,ISL,Europe,Northern Europe,male : 55-74 years
12016,Iceland,2013,female,25-34 years,3,22445,13.37,51749,Millenials,ISL,Europe,Northern Europe,female : 25-34 years
12017,Iceland,2013,female,35-54 years,5,42524,11.76,51749,Generation X,ISL,Europe,Northern Europe,female : 35-54 years
12018,Iceland,2013,female,55-74 years,3,29831,10.06,51749,Boomers,ISL,Europe,Northern Europe,female : 55-74 years
12022,Iceland,2014,male,75+ years,5,8491,58.89,56833,Silent,ISL,Europe,Northern Europe,male : 75+ years
12023,Iceland,2014,male,25-34 years,9,23711,37.96,56833,Millenials,ISL,Europe,Northern Europe,male : 25-34 years
12024,Iceland,2014,male,55-74 years,8,31027,25.78,56833,Boomers,ISL,Europe,Northern Europe,male : 55-74 years
12025,Iceland,2014,male,15-24 years,4,24185,16.54,56833,Millenials,ISL,Europe,Northern Europe,male : 15-24 years
12026,Iceland,2014,male,35-54 years,7,42731,16.38,56833,Generation X,ISL,Europe,Northern Europe,male : 35-54 years
12027,Iceland,2014,female,35-54 years,4,42655,9.38,56833,Generation X,ISL,Europe,Northern Europe,female : 35-54 years
12028,Iceland,2014,female,75+ years,1,11043,9.06,56833,Silent,ISL,Europe,Northern Europe,female : 75+ years
12029,Iceland,2014,female,25-34 years,2,22708,8.81,56833,Millenials,ISL,Europe,Northern Europe,female : 25-34 years
12030,Iceland,2014,female,15-24 years,2,22989,8.7,56833,Millenials,ISL,Europe,Northern Europe,female : 15-24 years
12031,Iceland,2014,female,55-74 years,2,30942,6.46,56833,Boomers,ISL,Europe,Northern Europe,female : 55-74 years
12080,Ireland,1987,male,55-74 years,58,247700,23.42,10515,G.I. Generation,IRL,Europe,Northern Europe,male : 55-74 years
12081,Ireland,1987,male,25-34 years,39,251100,15.53,10515,Boomers,IRL,Europe,Northern Europe,male : 25-34 years
12082,Ireland,1987,male,35-54 years,54,380400,14.2,10515,Silent,IRL,Europe,Northern Europe,male : 35-54 years
12083,Ireland,1987,male,15-24 years,29,313100,9.26,10515,Generation X,IRL,Europe,Northern Europe,male : 15-24 years
12084,Ireland,1987,male,75+ years,5,58500,8.55,10515,G.I. Generation,IRL,Europe,Northern Europe,male : 75+ years
12085,Ireland,1987,female,75+ years,6,89800,6.68,10515,G.I. Generation,IRL,Europe,Northern Europe,female : 75+ years
12086,Ireland,1987,female,55-74 years,17,272000,6.25,10515,G.I. Generation,IRL,Europe,Northern Europe,female : 55-74 years
12087,Ireland,1987,female,35-54 years,21,366500,5.73,10515,Silent,IRL,Europe,Northern Europe,female : 35-54 years
12088,Ireland,1987,female,25-34 years,8,250700,3.19,10515,Boomers,IRL,Europe,Northern Europe,female : 25-34 years
12089,Ireland,1987,female,15-24 years,7,301200,2.32,10515,Generation X,IRL,Europe,Northern Europe,female : 15-24 years
12090,Ireland,1987,female,05-14 years,1,340100,0.29,10515,Generation X,IRL,Europe,Northern Europe,female : 05-14 years
12092,Ireland,1988,male,75+ years,15,59600,25.17,11696,G.I. Generation,IRL,Europe,Northern Europe,male : 75+ years
12093,Ireland,1988,male,25-34 years,50,248600,20.11,11696,Boomers,IRL,Europe,Northern Europe,male : 25-34 years
12094,Ireland,1988,male,55-74 years,47,246600,19.06,11696,G.I. Generation,IRL,Europe,Northern Europe,male : 55-74 years
12095,Ireland,1988,male,15-24 years,47,312200,15.05,11696,Generation X,IRL,Europe,Northern Europe,male : 15-24 years
12096,Ireland,1988,male,35-54 years,36,388200,9.27,11696,Silent,IRL,Europe,Northern Europe,male : 35-54 years
12097,Ireland,1988,female,35-54 years,32,374900,8.54,11696,Silent,IRL,Europe,Northern Europe,female : 35-54 years
12098,Ireland,1988,female,55-74 years,18,271500,6.63,11696,G.I. Generation,IRL,Europe,Northern Europe,female : 55-74 years
12099,Ireland,1988,female,25-34 years,13,249000,5.22,11696,Boomers,IRL,Europe,Northern Europe,female : 25-34 years
12100,Ireland,1988,female,75+ years,2,91600,2.18,11696,G.I. Generation,IRL,Europe,Northern Europe,female : 75+ years
12101,Ireland,1988,female,15-24 years,6,298100,2.01,11696,Generation X,IRL,Europe,Northern Europe,female : 15-24 years
12104,Ireland,1989,male,35-54 years,77,397500,19.37,12188,Silent,IRL,Europe,Northern Europe,male : 35-54 years
12105,Ireland,1989,male,75+ years,11,60700,18.12,12188,G.I. Generation,IRL,Europe,Northern Europe,male : 75+ years
12106,Ireland,1989,male,25-34 years,42,242200,17.34,12188,Boomers,IRL,Europe,Northern Europe,male : 25-34 years
12107,Ireland,1989,male,55-74 years,42,245400,17.11,12188,G.I. Generation,IRL,Europe,Northern Europe,male : 55-74 years
12108,Ireland,1989,male,15-24 years,41,307900,13.32,12188,Generation X,IRL,Europe,Northern Europe,male : 15-24 years
12109,Ireland,1989,female,55-74 years,24,270300,8.88,12188,G.I. Generation,IRL,Europe,Northern Europe,female : 55-74 years
12110,Ireland,1989,female,35-54 years,21,383000,5.48,12188,Silent,IRL,Europe,Northern Europe,female : 35-54 years
12111,Ireland,1989,female,75+ years,5,95000,5.26,12188,G.I. Generation,IRL,Europe,Northern Europe,female : 75+ years
12112,Ireland,1989,female,25-34 years,8,242300,3.3,12188,Boomers,IRL,Europe,Northern Europe,female : 25-34 years
12113,Ireland,1989,female,15-24 years,7,293600,2.38,12188,Generation X,IRL,Europe,Northern Europe,female : 15-24 years
12116,Ireland,1990,male,55-74 years,58,244600,23.71,15312,G.I. Generation,IRL,Europe,Northern Europe,male : 55-74 years
12117,Ireland,1990,male,25-34 years,51,236900,21.53,15312,Boomers,IRL,Europe,Northern Europe,male : 25-34 years
12118,Ireland,1990,male,35-54 years,85,406100,20.93,15312,Silent,IRL,Europe,Northern Europe,male : 35-54 years
12119,Ireland,1990,male,75+ years,9,61000,14.75,15312,G.I. Generation,IRL,Europe,Northern Europe,male : 75+ years
12120,Ireland,1990,male,15-24 years,44,309400,14.22,15312,Generation X,IRL,Europe,Northern Europe,male : 15-24 years
12121,Ireland,1990,female,25-34 years,20,238400,8.39,15312,Boomers,IRL,Europe,Northern Europe,female : 25-34 years
12122,Ireland,1990,female,55-74 years,20,269100,7.43,15312,G.I. Generation,IRL,Europe,Northern Europe,female : 55-74 years
12123,Ireland,1990,female,35-54 years,29,391200,7.41,15312,Silent,IRL,Europe,Northern Europe,female : 35-54 years
12124,Ireland,1990,female,15-24 years,12,291300,4.12,15312,Generation X,IRL,Europe,Northern Europe,female : 15-24 years
12125,Ireland,1990,female,75+ years,2,97900,2.04,15312,G.I. Generation,IRL,Europe,Northern Europe,female : 75+ years
12126,Ireland,1990,male,05-14 years,4,347800,1.15,15312,Generation X,IRL,Europe,Northern Europe,male : 05-14 years
12128,Ireland,1991,male,25-34 years,69,243900,28.29,15328,Boomers,IRL,Europe,Northern Europe,male : 25-34 years
12129,Ireland,1991,male,35-54 years,91,407900,22.31,15328,Boomers,IRL,Europe,Northern Europe,male : 35-54 years
12130,Ireland,1991,male,55-74 years,53,247500,21.41,15328,Silent,IRL,Europe,Northern Europe,male : 55-74 years
12131,Ireland,1991,male,15-24 years,61,307900,19.81,15328,Generation X,IRL,Europe,Northern Europe,male : 15-24 years
12132,Ireland,1991,male,75+ years,8,63600,12.58,15328,G.I. Generation,IRL,Europe,Northern Europe,male : 75+ years
12133,Ireland,1991,female,55-74 years,19,269800,7.04,15328,Silent,IRL,Europe,Northern Europe,female : 55-74 years
12134,Ireland,1991,female,25-34 years,15,251600,5.96,15328,Boomers,IRL,Europe,Northern Europe,female : 25-34 years
12135,Ireland,1991,female,35-54 years,23,400200,5.75,15328,Boomers,IRL,Europe,Northern Europe,female : 35-54 years
12136,Ireland,1991,female,75+ years,2,99200,2.02,15328,G.I. Generation,IRL,Europe,Northern Europe,female : 75+ years
12137,Ireland,1991,female,15-24 years,4,293700,1.36,15328,Generation X,IRL,Europe,Northern Europe,female : 15-24 years
12140,Ireland,1992,male,25-34 years,80,246100,32.51,17051,Boomers,IRL,Europe,Northern Europe,male : 25-34 years
12141,Ireland,1992,male,55-74 years,60,248700,24.13,17051,Silent,IRL,Europe,Northern Europe,male : 55-74 years
12142,Ireland,1992,male,15-24 years,68,313100,21.72,17051,Generation X,IRL,Europe,Northern Europe,male : 15-24 years
12143,Ireland,1992,male,35-54 years,82,416800,19.67,17051,Boomers,IRL,Europe,Northern Europe,male : 35-54 years
12144,Ireland,1992,male,75+ years,11,64800,16.98,17051,G.I. Generation,IRL,Europe,Northern Europe,male : 75+ years
12145,Ireland,1992,female,55-74 years,21,270500,7.76,17051,Silent,IRL,Europe,Northern Europe,female : 55-74 years
12146,Ireland,1992,female,25-34 years,11,252800,4.35,17051,Boomers,IRL,Europe,Northern Europe,female : 25-34 years
12147,Ireland,1992,female,75+ years,4,101300,3.95,17051,G.I. Generation,IRL,Europe,Northern Europe,female : 75+ years
12148,Ireland,1992,female,35-54 years,16,410400,3.9,17051,Boomers,IRL,Europe,Northern Europe,female : 35-54 years
12149,Ireland,1992,female,15-24 years,6,297400,2.02,17051,Generation X,IRL,Europe,Northern Europe,female : 15-24 years
12150,Ireland,1992,male,05-14 years,3,339800,0.88,17051,Millenials,IRL,Europe,Northern Europe,male : 05-14 years
12152,Ireland,1993,male,25-34 years,57,247200,23.06,15872,Boomers,IRL,Europe,Northern Europe,male : 25-34 years
12153,Ireland,1993,male,55-74 years,56,250200,22.38,15872,Silent,IRL,Europe,Northern Europe,male : 55-74 years
12154,Ireland,1993,male,35-54 years,85,426500,19.93,15872,Boomers,IRL,Europe,Northern Europe,male : 35-54 years
12155,Ireland,1993,male,15-24 years,45,316400,14.22,15872,Generation X,IRL,Europe,Northern Europe,male : 15-24 years
12156,Ireland,1993,male,75+ years,8,65100,12.29,15872,G.I. Generation,IRL,Europe,Northern Europe,male : 75+ years
12157,Ireland,1993,female,35-54 years,28,421100,6.65,15872,Boomers,IRL,Europe,Northern Europe,female : 35-54 years
12158,Ireland,1993,female,55-74 years,14,271400,5.16,15872,Silent,IRL,Europe,Northern Europe,female : 55-74 years
12159,Ireland,1993,female,25-34 years,13,252600,5.15,15872,Boomers,IRL,Europe,Northern Europe,female : 25-34 years
12160,Ireland,1993,female,15-24 years,9,300100,3.0,15872,Generation X,IRL,Europe,Northern Europe,female : 15-24 years
12161,Ireland,1993,female,75+ years,3,102900,2.92,15872,G.I. Generation,IRL,Europe,Northern Europe,female : 75+ years
12162,Ireland,1993,male,05-14 years,8,335100,2.39,15872,Millenials,IRL,Europe,Northern Europe,male : 05-14 years
12164,Ireland,1994,male,25-34 years,77,249000,30.92,17188,Boomers,IRL,Europe,Northern Europe,male : 25-34 years
12165,Ireland,1994,male,35-54 years,99,436500,22.68,17188,Boomers,IRL,Europe,Northern Europe,male : 35-54 years
12166,Ireland,1994,male,15-24 years,69,318100,21.69,17188,Generation X,IRL,Europe,Northern Europe,male : 15-24 years
12167,Ireland,1994,male,75+ years,13,64700,20.09,17188,G.I. Generation,IRL,Europe,Northern Europe,male : 75+ years
12168,Ireland,1994,male,55-74 years,44,252800,17.41,17188,Silent,IRL,Europe,Northern Europe,male : 55-74 years
12169,Ireland,1994,female,55-74 years,27,272800,9.9,17188,Silent,IRL,Europe,Northern Europe,female : 55-74 years
12170,Ireland,1994,female,35-54 years,38,431300,8.81,17188,Boomers,IRL,Europe,Northern Europe,female : 35-54 years
12171,Ireland,1994,female,15-24 years,13,303000,4.29,17188,Generation X,IRL,Europe,Northern Europe,female : 15-24 years
